codigo,nombre_cuenta,imputable,is_group,nivel,codigo_padre,root_type
2.1.04.02.01.02.58,Depósitos en la CUT- Instituto Nacional de Atención Integral a la Primera Infancia (INAIPI),S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.59,Depósitos en la CUT- Hospital General Dr. Vinicio Calventi,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.60,Depósitos en la CUT- Hospital Regional Dr. Marcelino Vélez Santana,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.61,Depósitos en la CUT- Hospital Traumatológico Quirúrgico Profesor Juan Bosch,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.62,Depósitos en la CUT- Hospital Traumatológico Dr. Ney Arias Lora,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.63,Depósitos en la CUT- Instituto Nacional del Cáncer Rosa Emilia Sanchez Perez de Tavarez,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.64,"Depósitos en la CUT- Hospital Pediátrico Dr. Hugo Mendoza, Ciudad de la Salud",S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.65,"Depósitos en la CUT- Hospital Materno Dr. Reynaldo Almánzar, Ciudad de la Salud",S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.66,Depósitos en la CUT- Centro Cardio-Neuro Oftalmológico y de Trasplante (CECANOT),S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.67,Depósitos en la CUT- Centro de Educación Médica de Amistad Dominico-japonés (CEMADOJA),S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.68,Depósitos en la CUT- Hospital General y de Especialidades Nuestra Sra. de La Altagracia,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.69,Depósitos en la CUT- Centro Hospitalario Ciudad Sanitaria Luis Eduardo Aybar 2.1.04.02.01.02.70 Depósitos en la CUT- Hospital Materno -Infantil San Lorenzo de Los Mina                                S 2.1.04.02.01.02.71 Depósitos en la CUT- Hospital Universitario Maternidad Nuestra Señora de la Altagracia                       S,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.72,Depósitos en la CUT- Dirección de Servicios de Atención a Emergencias Extrahospitalarias,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.73,Depósitos en la CUT- Dirección General de Riesgos Agropecuarios,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.74,Depósitos en la CUT- Superintendencia de Valores,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.75,Depósitos en la CUT- Oficina Nacional de Meteorología,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.76,Depósitos en la CUT- Consejo Dominicano de Pesca Acuicultura,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.77,Depósitos en la CUT- Instituto Nacional de Bienestar Estudiantil,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.78,Depósitos en la CUT- Corporación Dominicana de Empresas Estatales,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.79,Depósitos en la CUT- Superintendencia de Bancos,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.03,Fondos de Instituciones de la Seguridad Social en la Cuenta Única del Tesoro,N,1,6,2.1.04.02.01,Liability
2.1.04.02.01.03.01,Depósitos en la CUT- Seguro Nacional de Salud,S,0,7,2.1.04.02.01.03,Liability
2.1.04.02.01.03.02,Depósitos en la CUT- Instituto de Auxilios y Viviendas,S,0,7,2.1.04.02.01.03,Liability
2.1.04.02.01.03.03,Depósitos en la CUT- Superintendencia de Pensiones,S,0,7,2.1.04.02.01.03,Liability
2.1.04.02.01.03.04,Depósitos en la CUT- Superintendencia de Salud y Riesgo Laboral,S,0,7,2.1.04.02.01.03,Liability
2.1.04.02.01.03.05,Depósitos en la CUT- Consejo Nacional de la Seguridad Social (CNSS),S,0,7,2.1.04.02.01.03,Liability
2.1.04.02.01.03.06,Depósitos en la CUT- Dirección de Información y Defensa de los Afiliados (DIDA),S,0,7,2.1.04.02.01.03,Liability
2.1.04.02.01.03.07,Depósitos en la CUT- Instituto Dominicano de Prevención y Protección de Riesgos Laborales (IDOPPRIL),S,0,7,2.1.04.02.01.03,Liability
2.1.04.02.01.03.08,Depósitos en la CUT- Tesorería de la Seguridad Social,S,0,7,2.1.04.02.01.03,Liability
2.1.04.02.01.03.09,Depósitos en la CUT- Instituto Dominicano de Seguros Sociales (IDSS),S,0,7,2.1.04.02.01.03,Liability
2.1.04.02.01.03.10,Depósitos en la CUT- Administradora De Estancias Infantiles Salud Segura (AEI-SS),S,0,7,2.1.04.02.01.03,Liability
2.1.04.02.01.04,Fondos de Instituciones de Empresas Públicas no Financieras,N,1,6,2.1.04.02.01,Liability
2.1.04.02.01.04.01,Depósitos en la CUT- Corporación del Acueducto y Alcantarillado de Santo Domingo,S,0,7,2.1.04.02.01.04,Liability
2.1.04.02.01.04.02,Depósitos en la CUT- Corporación Estatal de Radio y Televisión Dominicana,S,0,7,2.1.04.02.01.04,Liability
2.1.04.02.01.04.03,Depósitos en la CUT- Corporación de Acueducto y Alcantarillado de Santiago,S,0,7,2.1.04.02.01.04,Liability
2.1.04.02.01.04.04,Depósitos en la CUT- Corporación de Acueducto y Alcantarillado de Moca,S,0,7,2.1.04.02.01.04,Liability
2.1.04.02.01.04.05,Depósitos en la CUT- Corporación de Acueducto y Alcantarillado de la Romana,S,0,7,2.1.04.02.01.04,Liability
2.1.04.02.01.04.06,Depósitos en la CUT- Corporación de Acueducto y Alcantarillado de Puerto Plata,S,0,7,2.1.04.02.01.04,Liability
